"age" "edu1" "edu2" "edu3" "leisure.1" "leisure.2" "leisure.3" "mar1" "mar2" "mar3" "sex" "income.1" "income.2" "income.3" "lifesatisfaction.1" "lifesatisfaction.2" "lifesatisfaction.3"
69 1 0 0 4 2 2 1 0 0 1 42.8058906250006 45.6943984375006 42.4636015624998 3 3 2
71 0 0 1 4 4 6 0 0 1 1 9.38177050781245 8.15089746093751 9.55787890624999 3 3 3
40 0 0 0 1 1 1 0 1 0 0 14.428189453125 6.48266845703125 10.886818359375 3 2 2
47 0 1 0 4 3 4 1 0 0 0 9.96424218750002 10.9806806640626 11.248583984375 3 3 3
55 0 0 0 8 8 8 1 0 0 1 27.2842421875006 28.029999999999 32.5100000000016 2 3 3
46 1 0 0 9 10 9 1 0 0 1 24.2000000000005 29.6765976562491 22.417587890624 2 2 3
41 1 0 0 8 8 10 0 0 1 1 34.0359492187497 28.5128535156248 29.401773437499 2 2 3
40 1 0 0 9 5 12 1 0 0 1 34.7967656250013 40.9471562500002 42.3025390624984 2 2 2
48 1 0 0 9 9 11 0 0 1 0 405.299781250003 219.599999999997 20.34973046875 3 2 2
49 1 0 0 5 5 6 1 0 0 0 17.2380429687499 19.4947519531249 20.3123164062501 2 2 2
41 0 0 1 4 4 3 1 0 0 1 19.812 27.6479902343747 35.8639882812507 2 3 2
30 1 0 0 4 6 6 1 0 0 0 15.890314453125 18.515732421875 20.9002343750001 2 2 2
27 0 1 0 7 12 12 0 0 1 1 30.4259101562508 30.7837011718739 36.5582734374994 2 2 2
43 0 1 0 4 3 2 1 0 0 0 21.82032421875 21.570322265625 21.75 3 2 3
19 0 0 0 10 2 3 0 0 1 0 16.2499999999999 16.5 17.75 3 3 3
45 1 0 0 11 9 8 0 0 1 0 23.7545195312495 25.6960898437494 27.6113164062506 3 3 3
34 1 0 0 8 10 4 1 0 0 1 19.749888671875 23.4395605468752 11.79 2 2 2
43 1 0 0 6 12 12 1 0 0 1 177.167140624997 151.940281249996 195.544109375008 2 2 3
57 0 1 0 3 3 6 1 0 0 0 53.791718749998 55.4999999999985 56.0000000000008 2 2 2
53 0 1 0 7 2 4 1 0 0 1 6.04499999999998 23.0224999999995 21.8181816406251 2 2 2
32 1 0 0 8 2 3 0 0 1 0 24.6191093750005 23.8343710937511 21.0834257812501 2 2 2
27 1 0 0 3 2 11 0 0 1 0 0.695054931640623 15.635421875 15.77263671875 3 3 3
19 0 0 0 3 7 3 0 0 1 0 0.171428558349609 2.81788183593751 2.30946899414062 2 2 2
37 0 0 0 11 12 12 1 0 0 1 51.3392617187487 45.8099609375004 48.4369531250006 3 3 3
39 0 1 0 12 12 12 0 0 1 0 5.20000000000001 52.7999960937478 79.2999999999968 3 3 3
36 0 0 0 9 6 8 1 0 0 1 72.1907812500017 95.7066953125013 52.0392617187507 3 2 3
62 0 0 0 2 4 2 1 0 0 1 0.00120000004768372 0.000600000023841858 0.974250000000001 3 3 3
43 0 0 0 9 8 5 1 0 0 1 25.4647792968759 13.6967021484375 0.000600000023841858 2 2 2
44 0 0 0 1 2 1 0 1 0 0 15.8250205078125 7.04371728515625 14.7166337890625 2 2 2
42 0 1 0 2 5 8 0 1 0 1 5.18200000000003 5.78199999999999 8.73249316406251 2 2 2
40 1 0 0 9 6 9 1 0 0 1 66.9892812499973 72.0771406250013 77.4491953124963 1 1 1
35 1 0 0 9 8 9 1 0 0 0 8.87912109375 0.200000000000001 0.499999999999999 2 2 1
73 0 1 0 4 4 7 0 0 0 0 12.319869140625 11.018638671875 12.0746816406249 3 3 2
73 0 0 1 4 5 6 1 0 0 0 5.09215624999997 5.221201171875 5.44198974609377 3 3 2
72 0 1 0 11 7 11 1 0 0 1 13.9183818359375 14.1967773437499 14.9846953125001 3 3 3
59 0 1 0 5 8 3 0 1 0 1 38.0512695312511 40.7486132812499 43.7298124999996 2 2 2
70 1 0 0 5 4 7 1 0 0 1 15.2394296875 16.4554179687501 13.4051806640625 2 2 3
73 0 1 0 2 3 2 1 0 0 0 2.60533203124999 2.67477709960938 2.76436352539063 2 2 2
60 0 1 0 4 1 2 1 0 0 0 19.8687382812499 10.2442724609374 12.1367724609375 2 2 1
39 0 0 0 6 2 3 1 0 0 1 15.9030576171874 19.9940000000001 25.6134140624999 2 2 2
76 0 0 1 4 2 4 0 1 0 0 13.6042822265625 11.07687890625 14.160453125 2 1 1
75 0 1 0 1 1 2 0 0 1 0 14.8389843749999 14.9403828125001 15.611150390625 3 3 3
79 0 0 1 2 3 3 0 0 0 0 9.27031835937497 11.4509462890625 12.2055634765625 3 3 3
53 1 0 0 4 4 6 0 0 1 0 0.735442199707029 10.608599609375 5.07720019531251 2 2 2
57 0 1 0 8 6 2 1 0 0 1 56.8334882812507 70.7311796875033 56.5266914062526 2 2 2
41 0 1 0 12 12 12 1 0 0 0 30.9927167968753 5.55980371093753 28.2172890624987 2 3 3
41 1 0 0 12 12 12 1 0 0 1 123.875750000003 120.4050859375 136.011562500002 2 3 2
48 0 1 0 12 12 5 1 0 0 1 76.5245000000009 81.0599921875025 90.6719375000023 3 3 2
47 0 1 0 6 8 11 1 0 0 0 4.11294531249999 3.62427612304688 3.49956567382811 3 2 2
77 0 0 1 4 2 5 0 0 0 0 8.630984375 8.93791406249998 5.88323193359374 3 2 3
38 0 0 0 3 4 3 0 0 1 1 10.6625712890625 24.7833730468751 16.6626308593751 2 2 2
39 0 0 0 7 7 11 0 0 1 1 27.2429570312508 26.3324570312488 28.4072890625008 3 3 2
